Slang,Formal
warteg,warung tegal
gowesnusantara,gowes nusantara
sosialisasi,sosialisasi
pengliatan,penglihatan
nulis,tulis
search,cari
kejawab,terjawab
huuhu,menangis
one,satu
luangin,meluangkan
pekerjaanmari,pekerjaan
bu,bu
ketika,ketika
rw,rukun warga
christine,christine
love,cinta
gombyang,gombyang
ditanba,di  tambah
bakalan,bakalan
tabrakan,tabrakan
titled,titled
menurus,menerus
keringet,keringat
myfaceismyproblemnotyours,my face is my problem not yours
dipestain,di pesta in
leading,memimpin
sajakrindu,sajak rindu
prnh,pernah
menindaklanjuti,menindaklanjuti
aziem,aziem
pasarannya,pasaran nya
replies,balasan
jurusan,jurusan
riprahtawu,rip rahtawu
job,job
matahin,mematahkan
girlfriend,pacar perempuan
sekumpulan,sekumpulan
inspirasi,inspirasi
messenger,messenger
gdm,group direct message
disidang,di sidang
skincarenya,skincare nya
tudingan,tudingan
dilahap,di lahap
mendunia,mendunia
berpakian,berpakaian
browsing,browsing
faking,faking
payungi,memayungi
baliknya,balik nya
pantang,pantang
pembingkaian,pembingkaian
may,may
timnasindonesia,tim nasional indonesia
kasihkan,mengasihi
huwawawaaaaaa,menangis
tracking,melacak
dago,dago
didengar,di dengar
diwajah,di wajah
holcim,holcim
rasakan,rasakan
fansnya,penggemar nya
dibantu,di bantu
luu,kamu
tbs,tbs
tagih,tagih
gurau,gurau
jonghyun,jonghyun
penyerangan,penyerangan
itugiliran,itu giliran
tmennya,temen nya
lahirkan,melahirkan
uprak,ujian praktik
dijual,di jual
genderuw,genderuwo
pkknya,pokoknya
uchiciyko,uchiciyko
pinginnya,pingin nya
sprti,seperti
leyeh,leyeh
inshallah,inshallah
bersikap,bersikap
ooo,oh
berproses,berproses
back,back
timesup,times up
pacoa,pacoa
persiblive,persatuan sepak bola indonesia bandung live
troll,memancing kemarahan
hti,hati
agensi,agensi
merugikan,merugikan
digugel,di google
menag,menang
sdah,sudah
perbaiki,perbaiki
curvanordpersija,curva nord persija
imajinasi,imajinasi
ditendang,di tendang
perasaannya,perasaan nya
nenangin,menenangkan
seinnya,sein nya
menggema,menggema
auratnya,aurat nya
hmmmmmmm,berpikir
dikeluarka,di keluarkan
diteruskan,di teruskan
ngefek,berdampak
pp,pp
berkenan,berkenan
disetujuin,disetujuin
kitalah,kita lah
shift,shift
selambat,selambat
jama,jaman
disembunyikan,di sembunyikan
pramudya,pramudya
tegal,tegal
sebisaku,sebisa ku
chatan,chat an
membangun,membangun
comfort,comfort
tricky,tricky
dariku,dariku
ngerjainnya,mengerjakan
bangkit,bangkit
ngebangunin,membangunkan
khawatirkan,khawatirkan
pilihannye,pilihan nya
vitaminnya,vitamin nya
knetz,korea netizen
terutama,terutama
bersamaan,bersamaan
greasy,berminyak
mempersilahkan,mempersilakan
ngedj,nge dj
kasihku,kasih ku
parahnya,parah nya
seindonesia,se indonesia
meninggal,meninggal
gmana,bagaimana
kautsar,kautsar
puluhan,puluhan
rasakne,rasakan
tupac,tupac
revisi,revisi
sejoli,sejoli
daddy,bapak
art,seni
kepasar,ke pasar
nonjok,menonjok
gitumah,gitu mah
kebenaran,keberana
brikan,berikan
qasidahan,qasidahan
nadanya,nada nya
ngembaliin,mengembalikan
merata,merata
micu,memicu
mengalir,mengalir
store,store
raditya,raditya
dibunuh,di bunuh
supplier,supplier
sesring,se sering
guwoblok,goblok
kritikan,kritikan
didasarkn,di dasarkan
etto,etto
mng,meet and greet
samaadiknya,sama adik nya
playlistnua,playlist nya
inferior,inferior
oii,oi
dedikasi,dedikasi
dipaksain,di paksa in
kesetiaan,kesetiaan
hpnya,handphone nya
healthy,sehat
anjg,anjing
hinggal,tinggal
atmosfer,atmosfer
gamo,tidak mau
akuny,akun nya
elastis,elastis
kekantor,ke kantor
bwat,buat
lulus,lulus
rebah,rebah
sehingga,sehingga
weddingtradisional,pernikahan tardisional
dibarengin,di barengin
jujun,jujun
senter,senter
putrikedatonspa,putri kedaton spa
sudarso,sudarso
mensupport,mendukung
cuek,cuek
ketawa,ketawa
excited,bersemangat
bobo,tidur
hahhahha,tertawa
seniman,seniman
seberapa,seberapa
bibit,bibit
mekap,make up
kesel,kesal
ahass,layanan ahass
bterai,baterai
jamnya,jam nya
inshaallah,inshallah
law,aturan
yawlaaaaaa,ya ampun
warms,hangat
dribbling,dribbling
manager,manager
kl,kalau
mencabar,sabar
nyebeli,menyebalkan
nyebelin,menyebalkan
menjauhdarijanji,menjauh dari janji
pulpen,pulpen
terik,terik
kuota,kuota
tololnya,tolol nya
pagelaran,pagelaran
kasian,kasihan
anniversary,anniversary
kedua,kedua
pic,foto
halnya,hal nya
umatmu,umat mu
pappayearsold,papa years old
ngelunjak,melunjak
club,club
uils,unit informasi layanan sosial
hoak,hoax
ngaret,terlambat
debessss,terbaik
menempel,menempel
sman,sekolah menegah atas negeri
jeleknya,jelek nya
porsinya,porsi nya
poligami,poligami
sebelahmu,sebelah mi
salahku,salah ku
bersemi,bersemi
po,pre order
zein,zein
mbaknya,mbak nya
kemultitaskingan,kemampuan multitasking
halusnya,halus nya
seluruhku,seluruh ku
silaturahim,silaturahmi
kasusnya,kasus nya
presidenku,presiden ku
lahirku,lahir ku
gitulo,gitu loh
dongo,dungu
taxi,taksi
ingatlah,ingat lah
kepalang,kepalang
rog,rog
disemak,di semak
kabelnya,kabel nya
sukseskanseagames,sukseskan sea games
feminis,feminis
membernya,anggota nya
menemukan,menemukan 
direstui,direstui
didahulukan,di dahulu kan
demokrasi,demokrasi
tourism,tourism
paylater,paylater
engkau,engkau
extend,di perpanjang
sbagainya,sebagainya
hu,hu
afdol,afdal
blk,balik
dikurangi,di kurangi
nafkah,nafkah
muhammad,muhammad
rabbalallaamiin,rabbul alamin
perawatnya,perawat nya
ngeluh,mengeluh
ronggolawe,ronggolawe
nurunin,menurunkan
stok,stok
merusak,merusak
bahasaarab,bahasa arab
softskill,softskill
maba,mahasiswa baru
replyan,balasan
perhtiin,memperhatikan
mendatang,mendatang
skytrax,skytrax
acong,acong
smnggu,seminggu
karyawan,karyawan
dunianya,dunia nya
dikejar,di kejar
farasya,farasya
dumberku,bodoh ku
satunya,satu nya
duhhh,aduh
limagiga,lima giga
hengpong,handphone
wae,saja
queen,ratu
bertiga,bertiga
semuaa,semua
ngeblock,memblokir
kegiatan,kegiatan
amie,amie
pejambon,pejambon
didownload,di unduh
kenalnya,kenalnya
wan,wan
rektorat,rektorat
berwatak,berwatak
terimah,terima
ukt,uang kuliah tunggal
andraandthebackbone,andra and the backbone
agnezmo,agnezmo
kiddos,kiddos
rasax,rasa
toner,toner
nimbeung,nimbeung
mempan,mempan
ngrasa,merasa
device,perangkat
informanya,informan nya
hilda,hilda
thn,tahun
impression,impression
skandal,skandal
peminatan,peminatan
theja,theja
ditakuti,di takuti
they,mereka
ekstrem,ekstrim
ktm,ketemu
nyawer,menyawer
skz,skz
memilih,memilih
seminarpanji,semnar panji
menggapai,menggapai
mcflurry,es krim
islam,islam
dirumahmu,di rumah mu
kmu,kamu
labil,labil
nay,nay
mantan,mantan
begituan,begituan
setujui,menyetujui
gantiin,menggantikan
kenalkan,kenalkan
paginy,pagi nya
worthless,tidak berguna
bete,tidak senang
ibarate,ibarat nya
menunggumu,menunggu mu
krb,kawasan rawan bencana
ahelah,aduh
mempercantik,mempercantik
sebebas,se bebas
telpon,telepon
ongkir,ongkos kirim
yu,you
buff,buff
amplas,ampelas
disbutkan,di sebutkan
diusap,di usap
menahanku,menahan ku
nihil,nihil
berbasis,berbasis
seksual,seksual
ketimbang,ketimbang
nongkrong,berkumpul
leganya,lega nya
full,penuh
ditinggalkan,di tinggal kan
oyeeee,hore
berlabuhnya,berlabuh nya
ush,usah
ketumbenan,tumben
arane,istilah nya
mainin,maninin
sintasriwahyuni,sinta sri wahyuni
nyaleg,mencalonkan diri sebagai anggota legislatif
dinnerdate,dinner date
nawarin,menawarkan
diinginkan,di inginkan
berbuka,berbuka
telponan,telepon an
ade,adik
dilaporin,di lapor kan
mbuhhhhh,tidak tahu
thks,terima kasih
kebangkitan,kebangkitan
gtu,begitu
dihamburkan,di hamburkan
bhkn,bahkan
iyaa,iya
ngutang,mengutang
sesimpel,se sederhana
dibuktikan,di buktikan
kam,kamu
yard,halaman
senyumanmu,senyuman mu
numpang,menungmpang
dobeeel,double
berharap,berharap
enak,enak
dalang,dalang
tuntunlah,tuntunlah
hapy,bahagia
pemberitahuannya,pemberitahuan nya
justkidding,hanya bercanda
ngumpulgitu,kumpul gitu
jatinangor,jatinangor
kadal,kadal
paketin,peketin
kuucap,ku ucap
buat,buat
sm,sama
memaki,memaki
percayalah,percayalah
bertuliskan,bertuliskan
emangny,emang nya
mon,mohon
atta,atta
tauk,tahu
toll,toll
pns,pegawai negeri sipil
hahahaaha,tertawa
jatimpilihgusipulputi,jawa timur pilih gus ipul puti
wkwkwkwkwk,tertawa
dipenjara,di penjara
kampret,kampret
semudah,se mudah
timbulkan,timbulkan
sentosa,sentosa
izinnya,izin nya
anin,anin
melakukan,melakukan
ujungnua,ujung nya
finishing,finishing
mayan,lumayan
kekasihnya,kekasih nya
humble,baik
dihubungi,di hubungi
syap,siap
dijadiin,di jadi kan
membayangkan,membayangkan
arabia,arabia
undiknas,undiknas
bunuh,bunuh
iklannya,iklan nya
ku,aku
cawapres,calon wakil presiden
syaitonirojim,syaitonnirrojim
bpjstk,bpjs ketenagakerjaan
mochtar,mochtar
busway,busway
little,kecil
menduga,menduga
wtf,what the fuck
psti,pasti
pikirkan,pikirkan
menyepelakan,menyepelekan
coki,coki
diingatkan,di ingat kan
biarkan,biarkan
ekpresif,ekspresif
cool,keren
gemeshhh,gemas
seenggaknya,setidaknya
konteks,konteks
kekuranganmu,kekurangan mu
sekohale,sekolah nya
tweetnya,tweet nya
menyakitkan,menyakitkan
terlintas,terlintas
menyediakan,menyediakan
matkul,mata kuliah
cares,peduli
ujar,ujar
membebani,membebani
dinobatkan,di nobat kan
eminem,eminem
hiduplo,hidup kamu
mudh,mudah
jengkel,jengkel
hasnt,belum
sdpulang,sudah pulang
ditemenin,di temani
ibadah,ibadah
kebelulan,kebetulan
mdptkan,mendapatkan
iyakan,iya kan
tasya,tasya
senyuman,senyuman
geginian,begini an
vitamin,vitamin
sngat,sangat
very,sangat
anganku,angan ku
grgr,gara gara
lampir,lampir
kebuang,terbuang
lhahhh,lah
ide,ide
teenchoice,teen choice
dee,deh
penjahat,penjahat
dimaapin,di maafkan
klaten,klaten
utusan,utusan
inisialnya,inisial nya
mage,mage
pemusnahannya,pemusnahan nya
terhormat,terhorman
unfaedah,tidak berguna
disukai,di sukai
dilakukam,di lakukan
dark,gelap
tikung,tikung
cewe,cewek
menghidupkan,menghidupkan
sunnah,sunnah
rejimpanik,rejim panik
bgd,banget
wlupun,walaupun
bkan,bahkan
tersedia,tersedia
buktiin,buktikan
alloh,allah
hancurkan,hancurkan
kurangin,mengurangi
berangkt,berangkat
kakaknya,kakak nya
pertanian,pertanian
kk,kakak
kberadabn ,keberadaban
bangga,bangga
diantarkan,di antarkan
handukin,mengeringkan
mencurigakan,mencurigakan
toddler,anak kecil
msk,masuk
perubahan,perubahan
ngelepas,melepas
dihentikan,di hentikan
jumlahnya,jumlah nya
persemayaman,persemayaman
ehhh,eh
menyimak,menyimak
janganlupabahagia,jangan lupa bahagia
mangan,makan
testi,testimoni
dilewatin,dilewatin
ortunya,orang tua nya
khasnya,khas nya
vanashh,panas
ending,akhir
diusir,diusir
trailernya,trailer nya
kebutuhan,kebutuhan
oldmoneygakngerasain,old money tidak merasakan
muterin,memutarkan
yuno,Yuno
pake,pakai
mahendraku,mahendra ku
refer,merujuk
belinya,beli nya
ngelag,ngelag
masingmasing,masing-masing
senyumnya,senyum nya
ciptaan,ciptaan
hendaknya,hendaknya
jerit,jerit
pertolongan,pertolongan
mau,ingin
qerja,kerja
berkaca,berkaca
pendatang,pendatang
iyot,Iyot
goindonesia,go Indonesia
menentang,menentang
twt,twitter
unekunek,unek-unek
wajahku,wajah ku
feel,merasa
nuntut,menuntut
bakarnya,bakar nya
apalagai,apalagi
menetes,menetes
ermanjatim,komunitas erman jawa timur
rombongn,rombongan
dijawab,di jawab
hatipun,hati pun
cimitcimit,sedikit
naro,menaruh
been,sudah
lagi,sedang
sama-sama,sama-sama
sama,sama
dikangkangi,dikangkangi
bercocok,bercocok
dibiarkan,dibiarkan
mlm,malam
ngaceng,berdiri
gt,begitu
jerman,jerman
mukanya,wajah nya
istimewanya,istimewa nya
kejakarta,ke jakarta
jga,juga
kulsub,kuliah subuh
unik,unik
drakor,drama korea
according,menurut
aisia,astaga
dll,dan lain lain
lelakimu,lelaki mu
pakaianya,pakaian nya
edinburgh,edinburgh
nanami,nanami
before,sebelum
hayam,ayam
skali,sekali
grasak,brutal
ajg,anjing
diposting,diposting
berlemah,berlemah
dikira,dikira
doain,doain
cing,cing
kapanliburanlagi,kapan liburan lagi
serrr,ser
nestapa,nestapa
afganistan,afganistan
katakata,kata-kata
paper,kertas
hayuk,ayo
anakan,anakan
segar,segar
keyakinannya,keyakinan nya
sikopatnya,psikopat nya
explode,meledak
dibedong,dibedong
tmanku,teman ku
soalx,soalnya
sekoyaaah,sekolah
adventure,petualangan
arepin,harapkan
waallahu,waallahu
iniso,ini jadi
keira,keira
bray,bray
sotoyyy,sok tau
ieumah,inilah saya
penjadwalan,penjadwalan
klikbca,klik bca
diagnosa,diagnosa
lendr,lendir
lend*r,lendir
dipecat,di pecat
loo,lho
mario,mario
alamnya,alam nya
teyuss,terus
kaidah,kaidah
unu,itu
menyukseskan,menyukseskan
keresahan,keresahan
tenag,tenang
end,selesai
laporin,dilaporkan
manfaat,manfaat
ditendanya,di tenda nya
musium,museum
diksarlin,pendidikan dasar disiplin
dag,dag
hadir,hadir
ust,ustad
moga,semoga
ngebuntutin,ngebuntutin
abdul,abdul
korea,korea
cod,cash on delivery
duniawi,duniawi
hatiku,hati ku
tampan,tampan
menganti,mengganti
donggo,bodoh
darussalam,darussalam
dikerumunan,di kerumunan
esmosi,emosi
punyanya,punya nya
penularan,penularan
sreg,yakin
hkm,hukum
tutupin,tutupin
ngabarin,mengabari
mintain,memintai
penduduknya,penduduk nya
ngereceh,bercanda
rasain,rasain
tambahkn,tambahkan
menyikapinya,menyikapi nya
ira,ira
mencopot,melepas
pres,pers
makanqu,makan ku
ngopi,minum kopi
klopun,kalaupun
niel,niel
benarkah,benarkah
meet,bertemu
dikuatkuatin,dikuat-kuatin
phirel,phirel
tsahhhh,sah
mengulang,mengulang
sprt,seperti
pkir,pikir
arema,arema
dibutuhkan,dibutuhkan
shanthaaay,santai
cowonya,cowok nya
@ fromyg,@fromyg
about,tentang
say,mengatakan
kebanggan,kebanggaan
panturanan,panturanan
pantau,pantau
maafkanlah,maafkan lah
ngehubingin,menghubungi
sick,sakit
good,baik
vemirsyahh,permisa
kamprettt,kampret
ketahuilah,ketahuilah
gmarahti,tidak marah tapi
samurai,samurai
buk,ibu
ilangrusak,hilang rusak
pu,pekerja umum
mengamini,mengamini
boker,berak
face,wajah
jatuhnya,jatuh nya
emiss,ibu
memuakan,memuakkan
menontoni,mempersaksikan
hyunmin,hyunmin
sekaliiii,sekali
salep,salep
kediri,kediri
hey,hey
hifumi,hifumi
wanna,ingin
ngelihat,melihat
tanpamu,tanpamu
ngerumpul,kumpul
penerapannya,penerapannya
kajiannya,kajiannya
divonis,divonis
hayolo,hayo lho
dipermasalahin,dipermasalahkan
penakluk,penakluk
balet,balet
secengeng,se cengeng
wis,sudah
serumit,serumit
fancam,fancam
signalnya,sinyal nya
bucin,budak cinta
gendakan,pacar perempuan
pmarahan,pangeran
melirikm,melirik
jelekin,menjelekkan
ditunggangin,di tunggangi
kui,itu
nyindirnyindir,menyindir
perhaps,mungkin
berdedikasi,berdedikasi
terimalah,terimalah
dryer,penggering
clubbing,dugem
melaju,melaju
rica,rica
panasan,kepanasan
pernikahanku,pernikahan ku
aalamiin,alami
pasarpasar,pasar
juur,jujur
jelasinnya,jelasinnya
rusa,rusa
tinggallah,tinggallah
dibis,di bis
terenak,terenak
genderuwo,hantu
laahh,lah
moveon,move on
acc,terima
their,mereka
kulupa,aku lupa
ilcbpip,ilcbpip
kalbar,kalimantan barat
haha,tertawa
wth,what the hell
menuai,menuai
samyang,samyang
renoo,reno
kti,karya tulis ilmiah
pancasilais,pancasilais
plz,tolong
insaf,insaf
semanggi,semanggi
khilaf,khilaf
scr,secara
budak,budak
pungli,pungut liar
mmmmmoh,tidak mau
ngebash,ngebash
doangan,saja
tweetku,tweet ku
genteng,genteng
nervous,gugup
tidakmau,tidak mau
kualitasbhn,kualitas bahan
mengecup,mengecup
formatur,formatur
berenti,berhenti
rambutnya,rambut nya
diwajahnya,di wajahnya
tendang,tendang
menimba,menimba
ooalaah,oalah
nyium,mencium
bunganya,bunganya
mw,ingin
bass,bass
amarasi,amarasi
penghasilannya,penghasilannya
pramugari,pramugari
sono,sana
teka,teka
dijualin,di jualkan
sentimen,sentimen
hulk,hulk
keummatan,keumatan
pertengkaran,pertengkaran
ukurankecil,ukuran kecil
surga,surga
crowdfunding,crowdfunding
dipermudahkan,dipermudah
eson,eson
almuqarrabien,al muqarrabien
dda,ada
backers,backers
stressfull,membuat stres
first,pertama
laptopnya,laptop nya
gunungkidul,gunung kidul
utakatik,utak atik
adonan,adonan
dylan,dylan
masaknya,masaknya
ani,ani
misuh,misuh
pasanganmu,pasanganmu
mengajarinya,mengajarinya
terbaru,terbaru
terkadangg,terkadang
siapalah,siapalah
ajablm,aja belum
pelosok,pelosok
yatuhan,ya Tuhan
oma,nenek
ituh,itu
menghormati,menghormati
tei,tei
sekaliii,sekali
diberesin,di bereskan
klau,kalau 
dicium,di cium
menyebarkan,menyebarkan
pnya,punya
begok,bodoh
oknum,oknum
presscon,konferensi pers
apasaja,apa saja
puasaa,puasa
via,via
akademiknya,akademik nya
piye,bagaimana
mengambil,mengambil
visualisasi,visualisasi
kerjaany,kerjaan nya
terbawa,terbawa
tunaikan,tunaikan
persebaya,persebaya
casually,begitu saja
rozi,rozi
apps,aplikasi
jauuh,jauh
supporter,pendukung
iringi,mengiringi
dimosi,di mosi
usut,usut
kendala,kendala
raisa,raisa
terblok,terblokir
freestyle,freestyle
selingkuhin,selingkuhin
pralon,pralon
pralon,pralon
maruk,rakus
talenta,talenta
penting,penting
ketekunan,ketekunan
keuletan,keuletan
haus,haus
kalyan,kalian
kebalikan,kebalikan
madiun,madiun
suamine,suami nya
nyebar,menyebar
penegur,penegur
bamer,bawang merah
zebra,zebra
tidaksaling,tidak saling
amel,amel
tpi,tapi
maw,ingin
telapak,telapak
diklaim,diklaim
kirain,kirain
tustas,tuntas
pembelian,pembelian
kelebihanmu,kelebihanmu
ragunan,ragunan
kibo,kibo
dospem,dosen pembimbing
biasku,orang yang kusuka
fighter,petarung
jauuhh,jauh
otomatis,otomatis
untuk,untuk
sepuluh,sepuluh
keluargasaling,keluarga saling
kelangsungan,kelangsungan
tuiter,twitter
kno,tahu
kereboot,ke reboot
diawal,di awal
ryan,ryan
menghabiskan,menghabiskan
pacarin,pacari
gimanasi,bagaimana ya
bye,bye
nikmati,menikmati
fifa,fifa
warahmatullahi,warahmatullahi
sejujurnya,sejujurnya
bubar,bubar
bejuang,berjuang
ketiduran,ketiduran
sgt,sangat
gosend,gosend
asik,asik
dilontarkan,dilontarkan
enggk,tidak
dinyinyirin,dinyinyirin
yassona,yassona
cahya,cahya
pdhl,padahal
batalin,batalkan
badangkang,tubuh
idris,idris
isa,bisa
elisoulea,elisoulea
pengambil,pengambil
difollback,di follow back
dikalahkan,dikalahkan
perhubungan,perhubungan
santun,santun
dilahirkanya,dilahirkan ya
nyetok,nyetok
surahsurah,surah-surah
bertambahnya,bertambahnya
bnda,benda
subhanahu,subhanahu
cakleg,cakleg
boc,dewan komisaris
menjalin,menjalin
negur,menegur
oreo,oreo
pemalang,pemalang
bahagiagak,bahagia tidak
ngontrol,mengontrol
rsu,rumah sakit umum
degub,detak
waaaaa,wow
zhon,zhon
quda,kuda
behance,behance
nasehat,nasihat
piee,bagaimana
pinkan,pinkan
bingitt,sangat
wajhah,wajhah
adimas,adimas
didalem,di dalam
nyodorin,menyodorkan
bintara,bintara
sorga,surga
yaga,iya tidak
diamsekali,diam sekali
lebaytidak,lebay tidak
takut,takut
subscribers,subscribers
hehehee,hehehe
emakku,ibuku
ditanya,ditanya
ramennya,ramennya
dilola,dikelola
manggilnya,manggilnya
naroh,menaruh
pengem,ingin
polsek,kepolisian sektor
wainnailaihi,wainnailaihi
abng,abang
dipunyai,dimiliki
dusun,dusun
range,jangkauan
dinamakan,dinamakan
mbales,membalas
andalan,andalan
sedng,sedang
bawel,bawel
podcast,podcast
jokowiperiode,jokowi periode
edaran,edaran
pph,pajak penghasilan
disertai,disertai
niru,meniru
woee,hey
akrab,akrab
brg,bersama
hoam,hoam
kiam,kian
sodorin,memberi
akirnya,akhirnya
senengsenengnya,senang-senangnya
mksdnya,maksudnya
ataauuu,atau
scroll,scroll
dipersembahkan,dipersembahkan
style,style
israel,israel
rumit,rumit
nevolone,nevolone
nimbulin,menimbulkan
stokloreal,stok loreal
friendship,pertemanan
mekanisme,mekanisme
setaon,setahun
leci,leci
teleseries,teleseries
anda,anda
mematikan,mematikan
biat,agar
sesulit,sesulit
ntut,ntut
bloon,bodoh
significan,signifikan
penakut,penakut
kii,ki
sepe,sepi
neko,aneh
kelemahan,kelemahan
gimanegk,gimana tidak
shoping,belanja
dinkes,dinas kesehatan
date,date
memilihmu,memilihmu
mendem,memendam
memberikanmu,memberikanmu
terkagum,terkagum
lcc,lcc
takutin,takutin
alasankl,alasan jika
cawapresnyatamat,calon wakil presidennya tamat
inside,di dalam
antre,antre
bisannya,bisanya
becandaan,candaan
nampak,nampak
membuatnya,membuatnya
duluan,duluan
zamannya,zamannya
kelakuannya,kelakuannya
sdg,sedang
iblis,iblis
gacukup,tidak cukup
yos,yos
terluka,terluka
scared,takut
ayahnya,ayahnya
wkakaka,hahaha
judgemental,judgemental
dikatakan,dikatakan
wahyu,wahyu
antah,antah
porangkar,pekan olahraga antar angkatan dan karyawan
kalaupun,kalaupun
tanggapanku,tanggapanku
ditutup,ditutup
tergesagesa,tergesa-gesa
kerahkan,kerahkan
helm,helm
cuit,cuit
ngengeblengan,terbahak-bahak
kebayang,kebayang
istilahnya,istilahnya
jadin,jadikan
kalem,kalem
berarti,berarti
pling,paling
tar,nanti
akuanggap,aku anggap
dibikinin,dibikinin
jantungmu,jantungmu
pertunjukkan,pertunjukkan
insecure,insecure
shirt,shirt
cintaku,cintaku
dipolisikan,dipolisikan
supermarket,supermarket
jurassic,jurassic
ngejebak,menjebak
tft,thank you for today
olala,olala
ilangin,hilangkan
gagap,gagap
swafoto,selfie
ambilkan,ambilkan
trailer,trailer
pindahpindah,pindah-pindah
submit,kumpulkan
ndasmu,kepalamu
didirikan,didirikan
nyekolahin,menyekolahkan
dont,jangan
didi,didi
pitanya,pitanya
melukai,melukai
teather,teater
ngedumel,mengomel
raper,raper
bnyak,banyak
sue,sial
aww,aw
dosenny,dosennya
kalahhanya,kalah hanya
tenggara,tenggara
menghibur,menghibur
keegoisan,keegoisan
merengek,merengek
btw,by the way
telingaku,telingaku
disebrang,di seberang
kapten,kapten
sesuai,sesuai
hov,hov
nominee,calon 
mengutarakan,mengutarakan
macamnya,macamnya
hanyalah,hanyalah
hubungin,hubungi
jatuhkan,jatuhkan
totol,totol
terkait,terkait
sedikiiiit,sedikit
haiii,hai
kopling,kopling
kencangkan,kencangkan
semalaman,semalaman
delete,hapus
kerjaanpertemanan,kerjaan pertamanan
garukan,garukan
gi,grand indonesia
basmi,basmi
hektar,hektar
tytyd,penis
kedamaian,kedamaian
prayforlombok,pray for lombok
ampuh,ampuh
mangkal,mangkal
cintaaaaa,cinta
bos,bos
pandangan,pandangan
follow,follow
laredo,laredo
ampuni,ampuni
eksisting,eksisting
doangstelah,hanya setelah
sleding,menjegal
lgsung,langsung
pendendam,pendendam
ican,ican
ummah,ummah
perangko,perangko
melihatlihat,melihat-lihat
fotoin,fotoin
basway,busway
colornya,warnanya
campurnya,campurnya
flower,bunga
amteun,amteun
sejenak,sejenak
jugaharusnya,juga harusnya
guaaa,saya
memetik,memetik
mnding,mending
kecepatan,kecepatan
kejar,kejar
ritual,ritual
wagelaseh,gila
gratifikasi,gratifikasi
aja,aja
deui,lagi
tempatnya,tempatnya
nyahah,hahaha
iednya,iednya
anet,anet
prioritaskan,prioritaskan
fullhouse,fullhouse
ajukan,ajukan
terrbakar,terbakar
uici,uici
tidakmasuk,tidak masuk
gratisan,gratisan
kependidikan,kependidikan
membubarkan,membubarkan
begal,begal
disk,disk
lambatnya,lambatnya
ngecat,ngecat
menyalahnyalahkan,menyalahkan
pmrintah,pemerintah
sctvrcti,sctv rcti
hdhhh,aduh
rayuan,rayuan
jeruji,jeruji
tirakatku,tirakatku
pemirsyahhhh,permisa
trsrah,terserah
melepaskannya,melepaskannya
pengalamanku,pengalamanku
pertahankan,pertahankan
disebuah,disebuah
zero,nol
stikes,sekolah tinggi ilmu kesehatan
bet,banget
intel,intel
saset,saset
menaikkan,menaikkan
kupaksa,kupaksa
dst,dan seterusnya
lt,lantai
hide,menyembunyikan
seharihari,sehari-hari
apasih,apasih
sangatsangat,sangat-sangat
dicelup,dicelup
ucha,ucha
sugus,sugus
seno,seno
memfokuskan,memfokuskan
pakek,pakai
hikz,hiks
modyar,mati
protestan,protestan
kec,kecamatan
kmr,kamar
susan,susan
keroknya,keroknya
ngehujat,ngehujat
sajete,sajete
msh,masih
ainggg,saya
pentiiiing,penting
song,lagu
duo,duo
mahakarya,mahakarya
pansol,panjat sosial
ngantuk,ngantuk
cuciin,cuciin
lul,lol
kesekolah,ke sekolah
mase,mas
plagiat,plagiat
environment,lingkungan
polisiiya,polisi iya
kurasakan,kurasakan
larinya,larinya
jelly,jeli
dikirimuang,dikirim uang
terhibur,terhibur
stlh,setelah
wkkwkw,hahaha
bures,bures
rmah,rumah
dikarenakan,dikarenakan
giihh,gih
bljr,belajar
galau,galau
monthdedek,bulan adik
mauu,ingin
panggungmu,panggungmu
salman,salman
taufik,taufik
bagaiman,bagaimana
mencintainya,mencintainya
mengayomi,mengayomi
pamerin,pamerin
hidupkan,hidupkan
tercantum,tercantum
mengalahkanku,mengalahkanku
kopyah,kopiah
alasannya,alasannya
netesin,netesin
myeong,myeong
jbl,jbl
gapakek,tidak pakai
issues,masalah
khusnul,khusnul
random,acak
nolongin,nolongin
sarumpait,sarumpait
itulah,itulah
sialan,sialan
brkt,berangkat
keseringan,keseringan
cibiru,cibiru
mandheling,mandheling
trhdap,terhadap
ditempatkan,ditempatkan
kakehan,kebanyakan
ynwa,ynwa
pgen,ingin
melanda,melanda
yelyel,seruan
ondel,ondel
semangatpuasa,semangat puasa
madiunnn,madiun
fikom,fakultas ilmu komunikasi
praktikum,praktikum
menfes,menfes
usahaku,usahaku
hianati,hianati
baco,baca
blockir,blockir
ftisland,ftisland
nyantol,nyantol
wrong,salah
blkg,belakang
pulisi,polisi
aktip,aktif
snap,snap
berlebih,berlebih
berfoto,berfoto
yusufk,yusufk
ngejual,menjual
penuhnya,penuhnya
group,kelompok
berkorban,berkorban
busanya,busanya
zuhri,zuhri
bermnfaat,bermanfaat
pelunasan,pelunasan
pundaknya,pundaknya
yaaaaa,iya
savean,file penyimpanan
ungkapkan,ungkapkan
bangsanegara,bangsa negara
bnykn,banyakan
makian,makian
pangab,pangab
toyor,toyor
remeh,remeh
perawat,perawat
terjaga,terjaga
nereka,neraka
sirikan,sirik
deskripsikan,deskripsikan
sifatnya,sifatnya
senaknya,senaknya
penundaan,penundaan
