Slang,Formal
lagiya,lagi ya
office,kantor
ndapapa,tidak apa apa
ngikutin,mengikuti
olahragawan,olahrawagawan
kmn,ke mana
baee,saja
terdalam,terdalam
disposable,sekali pakai
hilangku,hilang
bolehkah,boleh kah
cuy,cuy
masing,masing
koalisi,koalisi
tereak,teriak
ngaoahahaha,tertawa
andre,andre
this,this
encore,encore
jodohnya,jodoh nya
artificial,artificial
pembagiannya,pembagian nya
bonekjancuk,bonek jancuk
yaelah,yaelah
listriknya,listrik nya
euphoria,"euforia
"
oenuh,penuh
standaar,standar
rapotan,rapot an
menyisihkan,menyisihkan
ditayangin,di tayangin
menyebalkanmu,menyebalkan mu
oren,jingga
kalee,kali
degup,degup
berdosa,berdosa
astagfirullahalazim,astagfirullahalazim
sampaikan,sampaikan
muktamar,muktamar
kesabaran,kesabaran
haekal,haekal
kejadian,kejadian
gih,gih
ngeprank,prank
cemburuan,cemburuan
pejaten,pejaten
dira,dira
didepannya,di depan nya
keluarnya,keluar nya
@ daplangu,@daplangu
msuk,masuk
whatsapp,whatsapp
mempersekutukanmu,mempersekutukan mu
ingatkan,ingatkan
tenangin,menenangi
mksh,terima kasih
yayasan,yayasan
lawanmu,lawan mu
dinanti,di nanti
soooooo,jadi
gadapat,tidak dapat
segininya,segini nya
kendaraan,kendaraan
ninggalin,meninggalkan
percuma,percuma
jngan,jangan
thor,thor
menyebrang,menyeberang
deeh,deh
kagumi,kagumi
friend,teman
sepasang,sepasang
dblock,di blok
likeforlike,like for like
harua,harus
topcer,puncak
ekonominya,ekonomi nya
biasalah,biasalah
berlatih,berlatih
amad,amad
icut,icut
tantrum,tantrum
menerbitkan,menerbitkan
abisan,habisan
pengangguran,pengangguran
berbatov,berbatov
hate,benci
dipilih,dipilih
nambawan,nambawan
opininya,opini nya
hazard,bahaya
zonk,zonk
dipikir,di pikir
angpaonya,angpao nya
mbk,mbak
success,sukses
ets,ets
meraskan,merasakan
hanifa,hanifa
guwah,saya
trbaik,terbaik
bully,rundung
nunjukin,menunjuk kan
selasa,selasa
psikologinya,psikologi nya
jelpi,jelpi
brikut,berikut
karni,karni
refreshing,refreshing
digerakkan,digerakkan
iphone,iphone
candaku,canda ku
diunfoll,di unfollow
allhmdulillah,alhamdulillah
palanya,kepalanya
lali,lupa
edukasi,edukasi
menetap,menetap
dipotong,di potong
kitaaaa,kita
bersatu,bersatu
diperiksa,di periksa
perutnya,perut nya
nyuruh,suruh
gegoleran,berbaring
bocengli,tidak pantas
pakdheku,pakdhe ku
ngajar,mengajar
lucuuuu,lucu
cieee,cie
pulng,pulang
duh,aduh
menderita,menderita
toraja,toraja
yaelahh,yaelah
pedes,pedas
angong,bengong
saat,saat
kesehatn,kesehatan
berlico,berlico
kapokgabisa,kapok gabisa
makanin,memakan
matap,mantap
muchie,much
aaaaaa,aaaaaa
gilingan,gilingan
lugu,lugu
ispa,ispa
hbs,habis
gopay,gopay
ana,ana
zulkifli,zulkifli
menyemangati,menyemangati
ngintipin,mengintip
pansosan,pansosan
nisanya,nisanya
tanyaan,tanyaan
tayangan,tayangan
namu,nemu
dikenang,di kenang
ngebuktiin,membuktikan
masyrakt,masyarakat
pemerintahannya,pemerintahan nya
dijaga,di jaga
menyimpan,menyimpan
sekalikali,sekali kali
sbgmn,sebagaimana
skincarean,skincare an
nambang,menambang
pokonya,pokok nya
indosat,indosat
penghujat,penghujat
pressure,tekanan
pilipin,filipina
rb,ribu
someone,seseorang
disiplinku,disiplin ku
deres,deras
kulangsung,ku langsung
